date,task,challenge,reference,result_model,Time_elapsed,Titles,DATE_SCORE
2024-09-05 18:08:38.915527105,date_qa,"

When was Enrico Golisciani, the Italian author born in Naples, born?","

Enrico Golisciani, the Italian author born in Naples, was born on 25 December 1848.",25 December 1848,6.253802061080933,"Enrico_Golisciani, Nicola_De_Giosa",0.8124999990859375
2024-09-05 02:11:54.069707155,date_qa,"

Here's a question about Kostas Petropoulos that would have <date> as the answer:

In what year did Kostas Petropoulos play for Greece's junior national team at the FIBA Europe Under-16 Championship?","

1973", 2011,8.11911678314209,"AEK_B.C., Thessaloniki",0.0
2024-09-02 15:49:00.981865406,date_qa,"

Here is a question about The Centaurus that would have the answer as the date:

What was the expected opening quarter for the Centaurus Mövenpick Hotel, according to initial plans?","

2018", 2018,6.668491125106812,"The_Centaurus, M%C3%B6venpick_Hotels_%26_Resorts",0.9999999984999999
2024-09-03 14:46:08.066093206,date_qa,"

When was Abay ""Amha"" Tsehaye, the Ethiopian politician, born?","

Abay ""Amha"" Tsehaye, the Ethiopian politician, was born on 29 April 1953.", 13 January 2021,7.475276947021484,"Abay_Tsehaye, Wikipedia:WikiProject_Africa/The_Africa_Destubathon/Core_stubs",0.0
2024-09-05 00:50:49.424801280,date_qa,"

What year was ZhL certified ""Halal"" a portion of its range?","

2012", 2012,6.397192716598511,ZhL,0.9999999984999999
2024-09-04 13:25:59.727834463,date_qa,"

Here is a question about Lola T93/30 that would have the answer <date>:

What was the date of the Brazilian Grand Prix that marked the first race of the Scuderia Italia team, which previously used Dallara-designed cars before switching to the Lola T93/30?","

1988", 1964,7.567668199539185,"Lola_Cars, Luca_Badoer",0.0
2024-09-01 17:53:51.210905344,date_qa,"

Here's a question about Dirt track racing in Australia that would have the answer <date>:

What year is often considered the birth year of motorcycle speedway in Australia, a country that has since produced several world-class riders and champions in the sport?","

1923",1959,8.001132249832153,"Indianapolis_Motor_Speedway, Michael_Schumacher",0.0
2024-09-03 00:36:39.960117340,date_qa,"

When was Larry Anthony Weir, the American songwriter, composer, and managing editor of New Music Weekly magazine, born?","

April 11, 1952"," April 11, 1952",6.495612859725952,"Larry_Weir, Larry_Weir_production_discography",0.9999999984999999
2024-09-01 16:47:32.783044100,date_qa,"

Here is a question that would have the answer <date>:

In what year was the Japanese Esperanto Institute established by Osaka Kenzi and others?","

1919", 1919,6.573910474777222,"Japanese_Esperanto_Institute, Kansai_International_Airport",0.9999999984999999
2024-08-30 16:18:47.979011840,date_qa,"

Here is a question that would have the answer as the date:

What year did Ernie Wilkins record the album Top Brass Featuring 5 Trumpets with a quintet of trumpeters, including Ray Copeland, Idrees Sulieman, Donald Byrd, Ernie Royal and Joe Wilder?","

1955", 1955,5.912295341491699,Top_Brass,0.9999999984999999
2024-09-03 11:06:20.878255129,date_qa,"

Here is a question that would have the answer as the date:

What year did the failed 20 July plot to assassinate Adolf Hitler, led by Claus von Stauffenberg, occur, as described in Ian Kershaw's book ""The End: Hitler's Germany""?","

1944", 1944,6.715402603149414,"The_End:_Hitler%27s_Germany,_1944%E2%80%9345, Adolf_Hitler",0.9999999984999999
2024-09-03 05:09:47.754028082,date_qa,"

Here is a question about Christopher Fowler that would have <date> as the answer:

When did Christopher Fowler, a United States Navy sailor and Medal of Honor recipient, die?","

1850"," May 11, 1874",7.629003763198851,"Christopher_Fowler_(Medal_of_Honor), https://en.wikipedia.org/?title=Category:United_States_Navy_Medal_of_Honor_recipients&from=F",0.0
2024-08-30 09:52:42.983018752,date_qa,"

When was Jiguli Dairabaev born?","

Jiguli Dairabaev was born on 29 October 1954.", 29 October 1954,6.272878885269165,"Jiguli_Dairabaev, 2022_Kazakh_presidential_election",0.863636362446281
2024-08-29 13:35:21.018906624,date_qa,"

Here is a question about Mathieu Laplante that would have the answer as a date:

What year was Mathieu Laplante hired to create the show concept for Cirque Hawaii, overseeing casting, music, and scenery creation?

(Answer: <date>)","

2005", 2005,6.520947694778442,"Mathieu_Laplante, Cirque_du_Soleil",0.9999999984999999
2024-09-01 18:51:13.399574518,date_qa,"

What year was a museum established at Mississauga's Benares Historic House, as a result of additions designed by Henry Sears?","

1995", 1995,5.780482530593872,Henry_Sears_(architect),0.9999999984999999
2024-09-05 13:13:48.089522839,date_qa,"

Here is a question that would have the answer <date>:

In what month and year was William Broughton baptised at Chatham, Kent?","

November 1768", November 1768,6.484722137451172,"William_Broughton_(magistrate), Savannah_Protest_Movement",0.9999999984999999
2024-08-30 05:17:51.179388046,date_qa,"

When did the construction of the East Klang Valley Expressway begin?","

The construction of the East Klang Valley Expressway began on 1 September 2015.", 1 September 2015,5.780252695083618,"East_Klang_Valley_Expressway, Malaysian_Expressway_System",0.8124999990859375
2024-09-02 17:09:36.087955713,date_qa,"

What is the year in which the population of Mian Darreh, Mazandaran was 195, in 52 families, according to the census?","

The year in which the population of Mian Darreh, Mazandaran was 195, in 52 families, according to the census, is 2006.", 2006,5.465562582015991,"Mian_Darreh,_Mazandaran",0.729999999715
2024-09-04 02:22:47.323926528,date_qa,"

What is the birthdate of Dr Patricia Rashbrook, the oldest woman to give birth in the United Kingdom?","

1943", 1943,6.225561618804932,"Patricia_Rashbrook, Pregnancy_over_age_50",0.9999999984999999
2024-09-02 15:49:50.038868904,date_qa,"

Here is a question about Chaudhry Aslam Khan that would have the answer as a specific date:

In what year did Chaudhry Aslam Khan join the Sindh Police force as an Assistant sub-inspector?

Answer: <date>","

1984", 1989,7.047824859619141,"Sindh_Police, Wikipedia:CHECKWIKI/WPC_557_dump",0.0
2024-09-06 02:07:24.964613676,date_qa,"

When did Zeno Graton's debut feature film The Lost Boys (Le Paradis) premiere at the Berlin International Film Festival?","

The Lost Boys (Le Paradis) premiered at the Berlin International Film Festival in 2023.", 2023,6.699675798416138,"Zeno_Graton, 73rd_Berlin_International_Film_Festival",0.7399999996266666
