date,task,challenge,reference,result_model,Time_elapsed,Titles
2024-08-29 08:36:39.874630451,date_qa,"

Here is a question that would have <date> as the answer:

What year was the Intel 4040 microprocessor released, which was designed to be used in an electronic calculator and had many design notes related to this role?

Answer: <date>","

1971",,,
2024-09-05 13:15:24.445574284,date_qa,"

When was the post office in Aleppo, Pennsylvania first established?","

The post office in Aleppo, Pennsylvania was first established in 1869.",,,
2024-09-02 02:16:14.801814556,date_qa,"

When was the prototype of the ST Aero MAV-1 unveiled at the Asian Aerospace exhibition?","

The prototype of the ST Aero MAV-1 was unveiled at the Asian Aerospace exhibition in 2004.",,,
2024-09-03 09:54:45.146859169,date_qa,"

What year did the 56th edition of England's premier rugby union club competition take place, according to the context?","

1955",,,
2024-09-02 13:46:36.037999104,date_qa,"

When was Joseph Platt, a member of the House of Representatives of the Colony of Connecticut from Norwalk, born?","

Joseph Platt was born on February 17, 1672.",,,
2024-09-06 10:08:46.357801199,date_qa,"

Here is a question about Thakurgaon-3 that would have <date> as the answer:

When did the Thakurgaon-3 constituency become vacant?","

6 August 2024",,,
2024-09-04 13:47:43.566485405,date_qa,"

What date did a series of explosions occur at a gold mine in Gbomblora, Burkina Faso, resulting in the deaths of around 60 people and injuring over 100 others?","

21 February 2022",,,
2024-09-04 09:00:42.526806016,date_qa,"

When was Cape Verdean professional footballer Erson Stiven Dias Costa, known as Kukula, born?","

Erson Stiven Dias Costa, also known as Kukula, was born on 22 January 1993.",,,
2024-09-05 17:09:03.032615422,date_qa,"

Here is a question that would have <date> as the answer:

In what year did Rosemary win the Logie Award for Best Female Television Personality (NSW) for her work on Good Morning?","

1970",,,
2024-09-04 07:55:23.809252977,date_qa,"

Here is a question that would have the answer as a date:

In what year did Jovanice Twinobusingye win the national elections to become the woman representative member of parliament for Kiruhura District in the eleventh Parliament of Uganda?","

2021",,,
2024-09-05 21:11:07.229750633,date_qa,"

What is the year in which Əlvənd, a village in the Shamakhi Rayon of Azerbaijan, reported a population of 1,453 residents?","

1012",,,
2024-09-04 09:30:23.335507870,date_qa,"

Here is a question about Jerguš Pecháč that would have <date> as the answer:

In what year did Jerguš Pecháč come third in the U-12 European Youth Chess Championship in Prague?

(Answer would be the date mentioned in the context)","

2012",,,
2024-09-04 06:33:26.973273516,date_qa,"

Here is a question that would have the answer <date> based on the context:

What year did Metro launch the safety campaign ""Dumb Ways to Die"" in Melbourne, which became a global viral video hit?","

2012",,,
2024-09-02 16:09:38.426328064,date_qa,"

In what year was a post office called Air Line established in Air Line, Georgia?","

1856",,,
2024-09-02 19:18:34.840357376,date_qa,"

Here is a question about Shigeharu Matsumoto that would have the answer <date>:

When did Shigeharu Matsumoto have his first real reporting experience with his report of the Xi'an incident?","

1936",,,
2024-09-04 16:28:57.667981863,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Francis Boardman Crowninshield born in New York City?","

1869",,,
2024-09-05 18:08:38.915527105,date_qa,"

When was Enrico Golisciani, the Italian author born in Naples, born?","

Enrico Golisciani, the Italian author born in Naples, was born on 25 December 1848.",,,
2024-09-05 02:11:54.069707155,date_qa,"

Here's a question about Kostas Petropoulos that would have <date> as the answer:

In what year did Kostas Petropoulos play for Greece's junior national team at the FIBA Europe Under-16 Championship?","

1973",,,
2024-09-02 15:49:00.981865406,date_qa,"

Here is a question about The Centaurus that would have the answer as the date:

What was the expected opening quarter for the Centaurus Mövenpick Hotel, according to initial plans?","

2018",,,
2024-09-03 14:46:08.066093206,date_qa,"

When was Abay ""Amha"" Tsehaye, the Ethiopian politician, born?","

Abay ""Amha"" Tsehaye, the Ethiopian politician, was born on 29 April 1953.",,,
2024-09-03 11:09:14.556364536,date_qa,"

Here's a question about Cartier Island Marine Park with the answer being a date:

What year was the Cartier Island Marine Reserve originally proclaimed under the National Parks and Wildlife Conservation Act, before it was later renamed Cartier Island Marine Park in 2017?

Answer: 2000","

The answer is 2000.",,,
2024-09-05 00:50:49.424801280,date_qa,"

What year was ZhL certified ""Halal"" a portion of its range?","

2012",,,
2024-09-04 13:25:59.727834463,date_qa,"

Here is a question about Lola T93/30 that would have the answer <date>:

What was the date of the Brazilian Grand Prix that marked the first race of the Scuderia Italia team, which previously used Dallara-designed cars before switching to the Lola T93/30?","

1988",,,
2024-09-01 17:53:51.210905344,date_qa,"

Here's a question about Dirt track racing in Australia that would have the answer <date>:

What year is often considered the birth year of motorcycle speedway in Australia, a country that has since produced several world-class riders and champions in the sport?","

1923",,,
2024-09-03 00:36:39.960117340,date_qa,"

When was Larry Anthony Weir, the American songwriter, composer, and managing editor of New Music Weekly magazine, born?","

April 11, 1952",,,
2024-09-01 16:47:32.783044100,date_qa,"

Here is a question that would have the answer <date>:

In what year was the Japanese Esperanto Institute established by Osaka Kenzi and others?","

1919",,,
2024-08-30 16:18:47.979011840,date_qa,"

Here is a question that would have the answer as the date:

What year did Ernie Wilkins record the album Top Brass Featuring 5 Trumpets with a quintet of trumpeters, including Ray Copeland, Idrees Sulieman, Donald Byrd, Ernie Royal and Joe Wilder?","

1955",,,
2024-09-03 11:06:20.878255129,date_qa,"

Here is a question that would have the answer as the date:

What year did the failed 20 July plot to assassinate Adolf Hitler, led by Claus von Stauffenberg, occur, as described in Ian Kershaw's book ""The End: Hitler's Germany""?","

1944",,,
2024-09-03 05:09:47.754028082,date_qa,"

Here is a question about Christopher Fowler that would have <date> as the answer:

When did Christopher Fowler, a United States Navy sailor and Medal of Honor recipient, die?","

1850",,,
2024-09-03 11:09:14.556364544,date_qa,"

Here's a question about Cartier Island Marine Park with the answer being a date:

What year was the Cartier Island Marine Reserve originally proclaimed under the National Parks and Wildlife Conservation Act, before it was later renamed Cartier Island Marine Park in 2017?

Answer: 2000","

The answer is 2000.",,,
2024-08-30 09:52:42.983018752,date_qa,"

When was Jiguli Dairabaev born?","

Jiguli Dairabaev was born on 29 October 1954.",,,
2024-08-29 13:35:21.018906624,date_qa,"

Here is a question about Mathieu Laplante that would have the answer as a date:

What year was Mathieu Laplante hired to create the show concept for Cirque Hawaii, overseeing casting, music, and scenery creation?

(Answer: <date>)","

2005",,,
2024-09-01 18:51:13.399574518,date_qa,"

What year was a museum established at Mississauga's Benares Historic House, as a result of additions designed by Henry Sears?","

1995",,,
2024-09-05 13:13:48.089522839,date_qa,"

Here is a question that would have the answer <date>:

In what month and year was William Broughton baptised at Chatham, Kent?","

November 1768",,,
2024-08-30 05:17:51.179388046,date_qa,"

When did the construction of the East Klang Valley Expressway begin?","

The construction of the East Klang Valley Expressway began on 1 September 2015.",,,
2024-09-02 17:09:36.087955713,date_qa,"

What is the year in which the population of Mian Darreh, Mazandaran was 195, in 52 families, according to the census?","

The year in which the population of Mian Darreh, Mazandaran was 195, in 52 families, according to the census, is 2006.",,,
2024-09-04 02:22:47.323926528,date_qa,"

What is the birthdate of Dr Patricia Rashbrook, the oldest woman to give birth in the United Kingdom?","

1943",,,
2024-09-02 15:49:50.038868904,date_qa,"

Here is a question about Chaudhry Aslam Khan that would have the answer as a specific date:

In what year did Chaudhry Aslam Khan join the Sindh Police force as an Assistant sub-inspector?

Answer: <date>","

1984",,,
2024-09-03 13:11:04.924711168,date_qa,"

When was Benito Pavoni born?","

Benito Pavoni was born on 19 July 1936.",,,
2024-09-06 02:07:24.964613676,date_qa,"

When did Zeno Graton's debut feature film The Lost Boys (Le Paradis) premiere at the Berlin International Film Festival?","

The Lost Boys (Le Paradis) premiered at the Berlin International Film Festival in 2023.",,,
2024-09-05 15:40:19.093578339,date_qa,"

Here is a question that would have the answer as a date:

In what year was the Companies Act under which the Association of Accounting Technicians of Sri Lanka (AAT Sri Lanka) was initially registered?","

1982",,,
2024-09-03 12:29:20.887606382,date_qa,"

What year did B.Z. (newspaper) have a circulation of around 200,000?","

The year B.Z. (newspaper) had a circulation of around 200,000 was 2010.",,,
2024-09-05 08:51:06.925516800,date_qa,"

Here is a question that would have the answer <date> based on the provided context:

What is the effective date of the eligibility requirements for Hamburg Parliament candidates, which include being at least 18 years old and not being barred from voting due to certain legal restrictions?","

2008",,,
2024-09-03 01:07:24.154218674,date_qa,"

Here is a question about Springs Christian Academy with the answer <date>:

When was Springs Christian Academy founded by Springs of Living Water Church (now Springs Church) in Winnipeg?","

1989",,,
2024-09-05 00:57:30.945903872,date_qa,"

What year was the Max and Claire Brombacher House built?","

The Max and Claire Brombacher House was built in 1940.",,,
2024-09-03 19:39:56.736884992,date_qa,"

When did Mbali Dlamini join the EFF while she was a student at the Tshwane University of Technology?","

Mbali Dlamini joined the EFF in 2014 while she was a student at the Tshwane University of Technology.",,,
2024-09-03 14:15:30.336388826,date_qa,"

What was the month and year when Belladonna was listed among the top six bestselling books in the United States in The Bookman issue, where it was ranked sixth?","

December 1909",,,
2024-09-06 11:31:07.115840435,date_qa,"

Here's a question that would have ""2018"" as the answer:

What year did the Incarnate Word Cardinals women's basketball team finish the season 5-24, with a 4-14 record in Southland play?","

2018",,,
2024-08-29 04:38:35.839523072,date_qa,"

Here is a question that would have the answer <date>:

In what year was the project of establishing a Cadet College in Balochistan conceived?","

1976",,,
2024-09-03 10:11:26.712572336,date_qa,"

Here is a question that would have <date> as the answer:

When was German mathematician Karl-Otto Stöhr, known for his contributions to algebraic geometry, born?","

9 May 1942",,,
2024-09-04 00:23:32.491925716,date_qa,"

When was the Velká Deštná observation tower opened?","

The Velká Deštná observation tower was opened in 2019.",,,
2024-09-04 02:26:24.530028819,date_qa,"

Here's a question that would have the answer <date>:

What year did the Indian census report Shevgaon's population as 38,375, consisting of 19,442 males and 18,993 females?","

2011",,,
2024-09-02 13:28:12.905660391,date_qa,"

Here is a question that would have the answer as a specific date:

In what year did Polikarp Lukšić Ljubetić, the Croatian immigrant father of Andrónico Luksic, arrive in Chile from the Adriatic island of Brač?","

1910",,,
2024-09-03 04:54:37.364432896,date_qa,"

Here is a question about SUNSAT that would have the answer as a date:

What year did the Stellenbosch University SATellite, or SUNSAT, become the first launched South African satellite, after being launched aboard a Delta II rocket from the Vandenberg Air Force Base on February 23rd of that year?","

1999",,,
2024-09-01 22:31:50.451468229,date_qa,"

Here is a question about Lisa MacLeod that would have the answer as the date:

What date did Lisa MacLeod win the election in the Ottawa-area riding of Nepean—Carleton by a margin of 6,000 votes over her Liberal opponent Brian Ford?","

March 30, 2006",,,
2024-09-03 06:26:08.064528640,date_qa,"

Here is a question that would have the answer <date>:

When was Robert Waldmire, the American artist and cartographer known for his artwork of U.S. Route 66, born?","

April 19, 1945",,,
2024-09-01 14:59:04.162774784,date_qa,"

Here is a question that would have <date> as the answer:

What was the year in which the National Census reported the population of Sara Rural District to be 12,408 in 2,491 households?","

2006",,,
2024-09-03 12:38:51.636859136,date_qa,"

What year did American forces land on Agat Invasion Beach as part of the Battle of Guam to retake the island from Japanese occupation?","

1944",,,
2024-09-04 07:20:20.645754112,date_qa,"

Here is a question that would have the answer <date>:

In what year did V. N. Parameswaran Pillai take command and oversee the partial absorption of the Travancore Army into the Indian Army?","

1945",,,
2024-09-03 15:24:41.967031040,date_qa,"

Here is a question that would have <date> as the answer:

On what date did Reinoud III marry Marie of Brabant, lady of Turnhout, in Tervuren?","

1 July 1347",,,
2024-08-31 04:33:39.921182976,date_qa,"

When was the single ""Promise You This"" from Snoop Dogg's album Neva Left released?","

March 1, 2017",,,
2024-09-05 18:30:30.109359026,date_qa,"

Here is a question with the answer <date>:

In what year did Alexander Breckenridge, the grandfather of John Breckinridge, immigrate from Ireland to Bucks County, Pennsylvania?","

1728",,,
2024-08-30 18:25:59.973518336,date_qa,"

Here is a question about Lincoln House Club with the answer <date>:

In what year was the Lincoln House Club, a Shingle style structure part of the ""fresh air"" movement, built by the Lincoln Club of Boston near the Grand Island Bridge?","

1899",,,
2024-09-01 10:07:31.785230398,date_qa,"

Here is a question with the answer <date>:

What was the birthdate of John Gude Wenman, the English professional cricketer?","

11 August 1803",,,
2024-09-05 06:06:05.378763914,date_qa,"

Here is a question about Saint Spyridon Church that would have the answer <date>:

In what year did the construction of Saint Spyridon Church begin, a building project that would take place in stages in the Byzantine Basilica style?","

1961",,,
2024-09-04 16:12:38.871231488,date_qa,"

What year is commonly cited as the birth year of Italian Mannerist painter Gianserio Strafella, although some sources also mention an alternative birth year of 1506?","

1520",,,
2024-09-02 18:25:37.577455104,date_qa,"

Here is a question that would have <date> as the answer:

In what year was Wilkinson House constructed by its original builder, J.?","

1888",,,
2024-09-05 12:44:56.039234638,date_qa,"

What year was Asbjørn Øksendal born?","

Asbjørn Øksendal was born in the year 1922.",,,
2024-09-03 15:56:36.597929716,date_qa,"

Here is a question about Parides klagesi that would have <date> as the answer:

In what year was the male Parides klagesi butterfly specimen, characterized by an entirely black abdomen, captured and described by Racheli and Pischedda?","

1983",,,
2024-09-05 23:46:56.701732635,date_qa,"

Here is a question with the answer <date> about Lesetja Kganyago:

In what year did Lesetja Kganyago start serving as the Director of the South African National Treasury, a position he held until 1998?","

1996",,,
2024-09-04 02:52:18.134528256,date_qa,"

What was the year the Vietnam Open tennis tournament was played on hard courts?","

2015",,,
2024-09-02 11:06:58.080021760,date_qa,"

Here's a question that would have the answer <date>:

When was Khaled Akil, a Syrian artist based in Istanbul, born in Aleppo?","

1986",,,
2024-09-05 17:46:35.688769102,date_qa,"

When was Ahmadou Kourouma, the eldest son of a distinguished Malinké family, born in Boundiali, Côte d'Ivoire?","

Ahmadou Kourouma was born in 1927 in Boundiali, Côte d'Ivoire.",,,
2024-08-30 18:39:14.585205555,date_qa,"

Here is a question that would have the answer <date>:

In what year was American sprint canoeist Stephen Macknowski born?","

February 16, 1922",,,
2024-09-06 06:10:43.182199240,date_qa,"

What year was the magazine Hans established by Premchand?","

Hans magazine was established by Premchand in the year 1930.",,,
2024-08-31 10:57:02.114800215,date_qa,"

What year was Karl August Auberlen born in Fellbach, near Stuttgart?","

Karl August Auberlen was born in Fellbach, near Stuttgart, in the year 1824.",,,
2024-09-02 17:12:32.264491796,date_qa,"

Here's a question about Goose River with the answer <date>:

What year did the officially recognized name ""Goose River"" become adopted?

(Answer: 1948)","

The officially recognized name ""Goose River"" was adopted in the year 1948.",,,
2024-09-03 15:33:05.531872988,date_qa,"

Here is a question that would have the answer <date>:

In what year did residents of Memphis, Tennessee vote to dissolve the charter for Memphis City Schools, paving the way for a merger with the Shelby County School District?","

2011",,,
2024-09-04 20:09:12.942332672,date_qa,"

Here is a question that would have <date> as the answer:

In what year was the decision made by the City Council to establish Strandboulevarden, which was later opened in 1897 in connection with the establishment of the Freeport of Copenhagen?","

1894",,,
2024-09-01 13:16:33.083261251,date_qa,"

What date did the 2010 Comerica Bank Challenger tennis tournament take place, a professional tennis tournament played on hard court?","

The 2010 Comerica Bank Challenger tennis tournament took place between 12 July and 18 July 2010.",,,
2024-09-03 03:03:32.399196863,date_qa,"

What date is often given as the birth date of pianist Raymond Lewenthal, although it is actually three years later than his true birth year of 1923?","

1926",,,
2024-09-01 02:06:47.036943104,date_qa,"

Here is a question that would have the answer <date>:

What year did Charles Rafter's accomplishments first receive recognition with the conferment of the King's Police Medal (KPM) by the King at Marlborough House?","

1910",,,
2024-09-06 04:54:03.977497578,date_qa,"

Here is a question about Patrick Pietropoli that would have <date> as the answer:

When did Patrick Pietropoli begin exhibiting his art in France, marking the start of his successful career as an artist?","

1983",,,
2024-09-02 21:31:33.292299776,date_qa,"

Here is a question that would have the answer as a date:

When was Chien Yu-hsiu, the former badminton player from the Republic of China, born?","

29 February 1980",,,
2024-08-30 10:34:39.523616768,date_qa,"

What year did the census take place in which Mij, Iran had a population of 802 people in 185 families?","

2006",,,
2024-09-05 01:50:27.333222151,date_qa,"

What is the release date of the box set A Taste of Strawbs, which includes an alternative mix of the song The Man Who Called Himself Jesus by Strawbs?","

2006",,,
2024-09-03 10:12:44.955057859,date_qa,"

Here is a question that would have the answer <date> based on the context:

What year did the village of Benediktbeuern have a population of 3,602 residents?","

2019",,,
2024-09-04 19:23:18.059078400,date_qa,"

What year did the Inquisito post mortem reveal that the manor of Pen-y-Clawdd Court was in the possession of Laurence Hastings, 1st Earl of Pembroke, during the 22nd year of the reign of Edward III?","

The Inquisito post mortem in 1349 revealed that the manor of Pen-y-Clawdd Court was in the possession of Laurence Hastings, 1st Earl of Pembroke, during the 22nd year of the reign of Edward III.",,,
2024-09-01 19:47:29.873750687,date_qa,"

What date did the singer perform the song at the FIVB Volleyball Men's World Championship opening ceremony prior to the Poland v match at the National Stadium, Warsaw?","

August 30, 2014",,,
2024-09-03 20:22:15.066762240,date_qa,"

Here is a question about Anita Doherty with the answer <date>:

In what year was Bahamian athlete, educator, and philanthropist Anita Louise Doherty (née deGregory) born?","

1949",,,
2024-09-02 19:11:00.454283476,date_qa,"

Here is a question about Adela Forestello that would have <date> as the answer:

On what date was Argentine actress Adela Forestello born in Posadas, Misiones Province?","

31 January 1923",,,
2024-09-03 23:28:31.736395597,date_qa,"

Here's a question that would have <date> as the answer:

As of what date did the Santomean passport rank 77th in terms of travel freedom, with its citizens having visa-free or visa on arrival access to 58 countries and territories, according to the Henley Passport Index?","

1 January 2018",,,
2024-09-03 17:45:50.239786386,date_qa,"

What was the birth year of Swedish cross-country skier Torkel Persson, who competed in the 1924 Winter Olympics?","

1894",,,
2024-09-02 11:15:34.767924309,date_qa,"

What year did the census take place in which the population of Bid-e Shirin, Kerman was recorded as 86 people in 21 families?","

2006",,,
2024-09-02 15:48:20.431067136,date_qa,"

Here is a question about Georgia State Patrol with the answer as a date:

What year did Governor E.D. Rivers appoint Philip H. as the first director of the Georgia State Patrol?","

1937",,,
2024-08-31 01:16:40.842027664,date_qa,"

Here is a question with the answer <date>:

In what year was Farm to Market Road constructed, along which the community of Midway in Titus County, Texas is situated?","

The answer is 1930.",,,
2024-09-05 09:56:39.193850279,date_qa,"

What year was John Berkeley, 4th Viscount Fitzhardinge of Bruton, Somerset born?","

1650",,,
2024-09-05 04:49:58.223585536,date_qa,"

What date was Italian cinematographer Ubaldo Arata born?","

Ubaldo Arata was born on 23 March 1895.",,,
2024-09-03 23:38:03.071248640,date_qa,"

Here is a question with the answer <date>:

What year is the earliest written reference to St. Peter's Church on Bornholm, one of the oldest churches in Denmark?","

1429",,,
2024-09-02 20:44:54.667665152,date_qa,"

When was Stephen J. Wojtkowiak born in Buffalo, New York?","

July 20, 1895",,,
2024-09-03 10:11:26.712572416,date_qa,"

Here is a question that would have <date> as the answer:

When was German mathematician Karl-Otto Stöhr, known for his contributions to algebraic geometry, born?","

9 May 1942",,,
2024-08-28 19:33:58.807632128,date_qa,"

Here is a question that would have <date> as the answer:

When was German biathlete Hanna Kebinger born?","

Hanna Kebinger was born on 26 November 1997.",,,
2024-09-03 05:31:06.070574760,date_qa,"

Here is a question that would have the answer as the date:

What year was the Mexican film ""The Spot of the Family"" (Spanish: El lunar de la familia) released?","

1953",,,
2024-09-03 07:13:27.901265383,date_qa,"

Here is a question with the answer <date>:

What year did Morakot Sangtaweep win the title of Miss Thailand Universe?","

2004",,,
2024-09-04 07:39:04.507641554,date_qa,"

Here is a question about Loring Hall Cinema that would have the answer as the date:

In what year was Loring Hall originally opened as a meeting hall to host lectures, picnics, and social meetings?","

1852",,,
2024-09-05 20:06:07.909416199,date_qa,"

Here is a question that would have the answer <date>:

When was Henry Edmund Donnelly ordained a priest for the Archdiocese of Detroit?","

August 17, 1930",,,
2024-09-04 10:33:46.011657216,date_qa,"

Here's a question that would have the answer <date>:

On what date did the first hot air balloon, carrying a duck, a rooster, and a lamb, set off from the Chateau de Versailles before landing in Vaucresson?","

19 September 1783",,,
2024-09-04 09:45:29.125872384,date_qa,"

Here is a question that would have the answer <date> based on the context:

In what year was the English painter Joseph Southall, known for his landscapes and portraits, born to a Quaker family in Nottingham?","

1861",,,
2024-09-03 02:01:46.555493888,date_qa,"

When was Macedonian footballer Vesna Vitanova born?","

Vesna Vitanova was born on 27 January 1987.",,,
2024-09-03 20:20:37.692422400,date_qa,"

Here's a question about Henry Stark Howland with the answer <date>:

What year was Henry Stark Howland born?","

August 2, 1824",,,
2024-09-03 19:28:29.615859270,date_qa,"

Here is a question about Yukiya Yokoyama that would have the answer <date>:

When was Japanese former Nippon Professional Baseball pitcher Yukiya Yokoyama born?","

June 1, 1977",,,
2024-09-02 13:48:49.453998592,date_qa,"

What year did The Collingswood Story screen at film festivals including Frightfest in London, The Festival of Fantastic Films in Manchester, and the Fearless Tales Film Festival in San Francisco?","

2005",,,
2024-09-03 09:41:22.015664640,date_qa,"

Here's a question that would have the answer as a date:

In what year was the ""Shadow Wolves"" law enforcement unit created by an Act of Congress, allowing them to operate on Tohono O'odham Nation land with a unique requirement for officer ancestry?","

1974",,,
2024-09-05 23:58:32.057287216,date_qa,"

What year was the first meeting house in the Fallsington Historic District built?","

1690",,,
2024-09-06 01:21:20.671030045,date_qa,"

Here is a question about Prince Edward Island (PEI) that would have the answer as the date:

What year did Prince Edward Island have a population of 1,771?","

2000",,,
2024-09-02 00:20:42.732359168,date_qa,"

Here is a question with the answer <date>:

When did Eric Berthel begin representing Connecticut's 32nd State Senate district?","

2017",,,
2024-09-03 13:41:47.827854336,date_qa,"

Here is a question that would have ""1999"" as the answer:

In what year did the Arun District Council election take place on 6 May to elect members of Arun District Council in West Sussex, England?","

1999",,,
2024-09-04 14:31:59.259192576,date_qa,"

When was Kevin Ojinga Kaala elected as a woman representative in parliament for Palisa district during the Ugandan general election?","

Kevin Ojinga Kaala was elected as a woman representative in parliament for Palisa district during the 2021 Ugandan general election.",,,
2024-09-03 08:43:21.488716364,date_qa,"

Here is a question with the answer <date> using the context:

What is the year in which the population of Tepebağ neighbourhood in Adana Province, Turkey was recorded as 903?","

The year in which the population of Tepebağ neighbourhood in Adana Province, Turkey was recorded as 903 is 2022.",,,
2024-09-02 23:17:12.280590080,date_qa,"

Here is a question about Thep Mongkhon that would have the date as the answer:

In what year did Thep Mongkhon have a total population of 3,851 people?","

2017",,,
2024-09-02 16:35:16.704384000,date_qa,"

Here is a question with the answer <date>:

When was Slovak former professional ice hockey player Ivan iernik born?","

October 30, 1977",,,
2024-09-01 18:08:00.142712320,date_qa,"

Here is a question that would have the answer <date>:

What year was the Draft Environmental Study for the Second Avenue Subway's section between 34th Street and 126th Street released, estimating a cost of $381 million and later receiving a $25 million grant from UMTA?

Answer: <date>","

1972",,,
2024-09-02 20:53:18.712369408,date_qa,"

Here is a question that would have the answer as a date:

In what year did the Geneseo Collegiate Institute, which built Atkinson Hall in 1892 for its music department, first open its doors to students?","

1884",,,
2024-09-03 10:34:56.864803584,date_qa,"

Here is a question with the topic of Yanda Li that would have the answer as a date:

In what year was Yanda Li from Tsinghua University, Beijing, China, named Fellow of the Institute of Electrical and Electronics Engineers (IEEE) for his contributions to signal processing and bioinformatics?","

2013",,,
2024-09-03 16:16:42.981582592,date_qa,"

When was Philippe Marçais, the French Arabist and politician, born?","

Philippe Marçais, the French Arabist and politician, was born on 16 March 1910.",,,
2024-09-05 20:56:57.036402941,date_qa,"

Here is a question about Garçonne (magazine) with the answer <date>:

What year was the magazine Frauenliebe first published, a year that also saw the rise of competing lesbian periodicals such as Garçonne and Die Freundin in Berlin?","

1926",,,
2024-09-04 17:02:13.815559149,date_qa,"

Here is a question that would have the answer as a date:

When was Aureliano Blanquet, a general of the Federal Army during the Mexican Revolution, born?","

31 December 1849",,,
2024-09-01 15:33:33.699795485,date_qa,"

Here is a question that would have <date> as the answer:

In what year was the Kan-O-Tex Service Station in Galena, Kansas originally built to serve U.S. Route 66 motorists?","

1934",,,
2024-09-03 20:01:07.781115294,date_qa,"

Here's a question about Rokken Station (Mie) that would have the answer as the date:

What is the opening date of the Sangū Railway line between Tsu Station and Miyagawa Station, which also serves Rokken Station in Mie Prefecture?","

December 31, 1893",,,
2024-09-04 16:54:37.414217710,date_qa,"

When did Sabata premiere in Italy, preceding its US release by almost a year?","

September 1969",,,
2024-09-05 04:45:06.993295360,date_qa,"

What is the release date of the second album ""Finsternis"" by German musical project E Nomine?","

The release date of the second album ""Finsternis"" by German musical project E Nomine is 2002.",,,
2024-09-05 14:36:21.096779823,date_qa,"

Here's a question with the answer <date>:

In what year did the Rumpler C.I, a two-seater single-engine reconnaissance biplane, enter service?","

In 1915",,,
2024-09-02 21:54:15.222560512,date_qa,"

In what year was Melba Moore's third album, Melba Moore Live, released?","

1972",,,
2024-09-04 12:10:34.977241039,date_qa,"

What is the birthdate of Croatian footballer Gordon Schildenfeld, formerly known as Gordon Lederer?","

The birthdate of Croatian footballer Gordon Schildenfeld, formerly known as Gordon Lederer, is 21 April 1958.",,,
2024-09-03 14:34:36.562107086,date_qa,"

In what year did author Dave Thompson write in his book Alternative Rock that the album Love by Aztec Camera was a ""backward step into pop cliché, an attempt to make a record which would work on American radio""?","

2000",,,
2024-09-02 18:41:30.696698112,date_qa,"

Here's a question about Arctic Predators that would have the answer as a date:

What year did the Ogden Knights, a minor league ice hockey team, fold due to financial trouble, causing the Arctic Predators, a fictional team in the same league, to gain a spot in the playoffs?

Answer: <date>","

2010",,,
2024-08-31 22:35:51.928452096,date_qa,"

Here is a question that would have the answer <date>:

On what date was the USNS Haiti Victory, formerly known as Longview, sold for scrapping to American Ship Dismantlers?","

27 April 1976",,,
2024-09-05 16:22:15.101994991,date_qa,"

Here is a question about Wilfred Hudson Osgood that would have the answer as a date:

In what year did Wilfred Hudson Osgood's family move to California, where he would later study in Santa Clara and San Jose?","

Wilfred Hudson Osgood's family moved to California in 1888.",,,
2024-09-03 22:20:55.104427776,date_qa,"

What year did the Christian Democratic Party (PDC) win 40 percent of the vote but not a controlling majority in the legislature, a victory largely due to the popularity of its leader José Napoleón Duarte, who would later be elected president, but was opposed by the ARENA party, led by Roberto D'Aubuisson?","

1982",,,
